https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1661990400000,2022-09-01 00:00:00,DOT/USD,7.0371,7.2079,6.8571,7.1832,407634.42266813223,56748.30474832
1661904000000,2022-08-31 00:00:00,DOT/USD,7.0163,7.2969,6.9867,7.03,402159.6022383158,57206.20230986
1661817600000,2022-08-30 00:00:00,DOT/USD,7.2746,7.3806,6.8922,7.0103,586555.1441554968,83670.47689193
1661731200000,2022-08-29 00:00:00,DOT/USD,6.8681,7.3158,6.791,7.2744,621574.0018374098,85446.77249497
1661644800000,2022-08-28 00:00:00,DOT/USD,7.0462,7.151,6.8207,6.8559,495223.7911640726,72233.22848409
1661558400000,2022-08-27 00:00:00,DOT/USD,6.9307,7.1049,6.8074,7.0417,561794.228749577,79781.05127307
1661472000000,2022-08-26 00:00:00,DOT/USD,7.5805,7.6728,6.8721,6.929,1525826.9367556632,220208.82331587
1661385600000,2022-08-25 00:00:00,DOT/USD,7.5659,7.7661,7.4642,7.58,757419.8123465319,99923.45809321
1661299200000,2022-08-24 00:00:00,DOT/USD,7.6431,7.78,7.4157,7.5659,544877.7278340976,72017.56933532
1661212800000,2022-08-23 00:00:00,DOT/USD,7.4027,7.717,7.188,7.6327,720377.9363839283,94380.48611683
1661126400000,2022-08-22 00:00:00,DOT/USD,7.4321,7.4433,7.0001,7.4068,723264.7697728771,97648.75111693
1661040000000,2022-08-21 00:00:00,DOT/USD,7.2282,7.5306,7.1665,7.438,519265.9789467075,69812.58119746001
1660953600000,2022-08-20 00:00:00,DOT/USD,7.2999,7.5176,7.0405,7.2282,947629.4986695016,131101.72638686
1660867200000,2022-08-19 00:00:00,DOT/USD,8.0781,8.0839,7.2314,7.3121,1756155.0815076663,240171.0974286
1660780800000,2022-08-18 00:00:00,DOT/USD,8.3709,8.5946,7.9811,8.079,909935.0227275671,112629.65994895
1660694400000,2022-08-17 00:00:00,DOT/USD,8.8365,9.1672,8.3117,8.3724,1028227.1061421407,122811.51236708
1660608000000,2022-08-16 00:00:00,DOT/USD,8.7802,8.9476,8.6368,8.8422,650276.2839672387,73542.36320907
1660521600000,2022-08-15 00:00:00,DOT/USD,8.9539,9.3812,8.6299,8.7802,1627014.001681582,185304.89074071
1660435200000,2022-08-14 00:00:00,DOT/USD,9.298,9.5558,8.8236,8.9434,955731.0042505283,106864.39209367
1660348800000,2022-08-13 00:00:00,DOT/USD,9.4797,9.68,9.2472,9.2971,873091.7843153205,93910.12082427
1660262400000,2022-08-12 00:00:00,DOT/USD,9.1945,9.4999,9.0379,9.4797,874832.5738654126,92284.83748066
1660176000000,2022-08-11 00:00:00,DOT/USD,9.5298,9.642,9.1286,9.2012,981167.0641672631,106634.68505926
1660089600000,2022-08-10 00:00:00,DOT/USD,8.8951,9.6432,8.5514,9.522,1291737.0393081533,135658.16417855
1660003200000,2022-08-09 00:00:00,DOT/USD,9.2738,9.4512,8.6494,8.9051,696929.1939317002,78261.80435163
1659916800000,2022-08-08 00:00:00,DOT/USD,8.6494,9.385,8.6412,9.275,1025274.8746953877,110541.76546581
1659830400000,2022-08-07 00:00:00,DOT/USD,8.5102,8.9241,8.346,8.6494,631755.9874211642,73040.44065729
1659744000000,2022-08-06 00:00:00,DOT/USD,8.8107,8.8721,8.483,8.5107,890980.1291446364,104689.4061763
1659657600000,2022-08-05 00:00:00,DOT/USD,8.0828,8.8398,8.0764,8.8113,693308.6516886457,78684.03659944
1659571200000,2022-08-04 00:00:00,DOT/USD,7.9894,8.2621,7.8769,8.0905,519840.8570592956,64253.24232857
1659484800000,2022-08-03 00:00:00,DOT/USD,7.9292,8.4401,7.6843,7.9894,549303.6761695216,68754.0586489
1659398400000,2022-08-02 00:00:00,DOT/USD,8.1701,8.2649,7.6747,7.9372,1070534.6466100533,134875.60432017
1659312000000,2022-08-01 00:00:00,DOT/USD,8.6248,8.9762,8.0268,8.1851,1084324.7227351426,132475.43985231
1659225600000,2022-07-31 00:00:00,DOT/USD,8.2056,9.2051,8.0732,8.6257,2154319.03765065,249755.8502673
1659139200000,2022-07-30 00:00:00,DOT/USD,8.1915,8.8392,8.1585,8.2094,1938088.324122763,236081.60451711
1659052800000,2022-07-29 00:00:00,DOT/USD,7.8578,8.4229,7.7684,8.1816,1459038.52953384,178331.68689912
1658966400000,2022-07-28 00:00:00,DOT/USD,7.6947,8.0654,7.4711,7.8541,2008923.4610684186,255780.22447746
